id	name	discount_policy	item_ids/product_tmpl_id	item_ids/product_id	item_ids/categ_id	item_ids/min_quantity	item_ids/applied_on	item_ids/base	item_ids/base_pricelist_id	item_ids/price_surcharge	item_ids/price_round	item_ids/price_min_margin	item_ids/price_max_margin	item_ids/date_start	item_ids/date_end	item_ids/compute_price	item_ids/fixed_price	item_ids/percent_price	item_ids/discount1	item_ids/discount2	item_ids/discount3	item_ids/price_discount
5	01 Corrispettivi Banco Top	without_discount		1332		48	0_product_variant	list_price						2024-01-31 23:00:00		percentage		44.5				
5	01 Corrispettivi Banco Top	without_discount		1571		48	0_product_variant	list_price						2023-03-31 22:00:00		percentage		5.05				
5	01 Corrispettivi Banco Top	without_discount	15953	14923		36	0_product_variant	list_price						2023-02-22 11:56:30		percentage		20				
3	01 Corrispettivi Banco Top	without_discount	15953	14923		36	0_product_variant	list_price						2023-02-22 11:53:42		percentage		20				
215	LISTINO CALA GALERA	without_discount	2668	1669		36	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.18				
3	01 Corrispettivi Banco Top	without_discount		1669		36	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.18				
5	01 Corrispettivi Banco Top	without_discount		1669		36	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.18				
333	LISTINO ELMAR OCTORAL	without_discount	9583	8584		30	0_product_variant	list_price						2024-03-03 08:50:21		percentage		60				
333	LISTINO ELMAR OCTORAL	without_discount	10438	9405		30	0_product_variant	list_price						2024-03-03 08:47:15		percentage		74.8				
333	LISTINO ELMAR OCTORAL	without_discount	10437	9404		30	0_product_variant	list_price						2024-03-03 08:46:42		percentage		74.8				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	10438	9405		30	0_product_variant	list_price						2023-04-11 00:00:00		percentage		75.62				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	10437	9404		30	0_product_variant	list_price						2023-04-10 22:00:00		percentage		75.55				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount		6495		25	0_product_variant	list_price						2023-03-31 22:00:00		percentage		62.5				
5	01 Corrispettivi Banco Top	without_discount	15953	14923		24	0_product_variant	list_price						2023-02-22 11:56:11		percentage		10				
5	01 Corrispettivi Banco Top	without_discount	15952	14922		24	0_product_variant	list_price						2023-02-22 11:54:57		percentage		10				
5	01 Corrispettivi Banco Top	without_discount	15952	14922		24	0_product_variant	list_price						2023-02-22 11:54:57		percentage		10				
3	01 Corrispettivi Banco Top	without_discount	15953	14923		24	0_product_variant	list_price						2023-02-22 11:53:01		percentage		10				
